Geographic Area,Nursing facilities/Skilled-nursing facilities ,Total,Nurs Hom
"Van Zandt County, Texas",348,"59,541",0.58
"Vance County, North Carolina",220,"42,578",0.52
"Vanderburgh County, Indiana","1,759","180,136",0.98
"Vega Alta Municipio, Puerto Rico",21,"35,395",0.06
"Vega Baja Municipio, Puerto Rico",135,"54,414",0.25
"Venango County, Pennsylvania",429,"50,454",0.85
"Ventura County, California","1,822","843,843",0.22
"Vermilion County, Illinois",546,"74,188",0.74
"Vermilion Parish, Louisiana",516,"57,359",0.9
"Vermillion County, Indiana",159,"15,439",1.03
"Vernon County, Missouri",279,"19,707",1.42
"Vernon County, Wisconsin",194,"30,714",0.63
"Vernon Parish, Louisiana",207,"48,750",0.42
"Victoria County, Texas",352,"91,319",0.39
"Vieques Municipio, Puerto Rico",0,"8,249",0
"Vigo County, Indiana",860,"106,153",0.81
"Vilas County, Wisconsin",7,"23,047",0.03
"Villalba Municipio, Puerto Rico",61,"22,093",0.28
"Vinton County, Ohio",71,"12,800",0.55
"Virginia Beach city, Virginia","1,464","459,470",0.32
"Volusia County, Florida","4,519","553,543",0.82
"Wabash County, Illinois",85,"11,361",0.75
"Wabash County, Indiana",695,"30,976",2.24
"Wabasha County, Minnesota",226,"21,387",1.06
"Wabaunsee County, Kansas",102,"6,877",1.48
"Wadena County, Minnesota",228,"14,065",1.62
"Wagoner County, Oklahoma",116,"80,981",0.14
"Wahkiakum County, Washington",0,"4,422",0
"Wake County, North Carolina","2,152","1,129,410",0.19
"Wakulla County, Florida",115,"33,764",0.34
"Waldo County, Maine",116,"39,607",0.29
"Walker County, Alabama",548,"65,342",0.84
"Walker County, Georgia",382,"67,654",0.56
"Walker County, Texas",214,"76,400",0.28
"Walla Walla County, Washington",669,"62,584",1.07
"Wallace County, Kansas",24,"1,512",1.59
"Waller County, Texas",174,"56,794",0.31
"Wallowa County, Oregon",30,"7,391",0.41
"Walsh County, North Dakota",170,"10,563",1.61
"Walthall County, Mississippi",95,"13,884",0.68
"Walton County, Florida",429,"75,305",0.57
"Walton County, Georgia",443,"96,673",0.46
"Walworth County, South Dakota",50,"5,315",0.94
"Walworth County, Wisconsin",501,"106,478",0.47
"Wapello County, Iowa",235,"35,437",0.66
"Ward County, North Dakota",479,"69,919",0.69
"Ward County, Texas",53,"11,644",0.46
"Ware County, Georgia",343,"36,251",0.95
"Warren County, Georgia",58,"5,215",1.11
"Warren County, Illinois",97,"16,835",0.58
"Warren County, Indiana",58,"8,440",0.69
"Warren County, Iowa",644,"52,403",1.23
"Warren County, Kentucky",534,"134,554",0.4
"Warren County, Mississippi",322,"44,722",0.72
"Warren County, Missouri",15,"35,532",0.04
"Warren County, New Jersey",640,"109,632",0.58
"Warren County, New York",291,"65,737",0.44
"Warren County, North Carolina",136,"18,642",0.73
"Warren County, Ohio","1,238","242,337",0.51
"Warren County, Pennsylvania",358,"38,587",0.93
"Warren County, Tennessee",200,"40,953",0.49
"Warren County, Virginia",269,"40,727",0.66
"Warrick County, Indiana",819,"63,898",1.28
"Wasatch County, Utah",153,"34,788",0.44
"Wasco County, Oregon",303,"26,670",1.14
"Waseca County, Minnesota",150,"18,968",0.79
"Washakie County, Wyoming",68,"7,685",0.88
"Washburn County, Wisconsin",104,"16,623",0.63
"Washington County, Alabama",67,"15,388",0.44
"Washington County, Arkansas","1,075","245,871",0.44
"Washington County, Colorado",45,"4,817",0.93
"Washington County, Florida",217,"25,318",0.86
"Washington County, Georgia",139,"19,988",0.7
"Washington County, Idaho",65,"10,500",0.62
"Washington County, Illinois",120,"13,761",0.87
"Washington County, Indiana",174,"28,182",0.62
"Washington County, Iowa",302,"22,565",1.34
"Washington County, Kansas",84,"5,530",1.52
"Washington County, Kentucky",182,"12,027",1.51
"Washington County, Maine",217,"31,095",0.7
"Washington County, Maryland","1,189","154,705",0.77
"Washington County, Minnesota","1,065","267,568",0.4
"Washington County, Mississippi",350,"44,922",0.78
"Washington County, Missouri",136,"23,514",0.58
"Washington County, Nebraska",161,"20,865",0.77
"Washington County, New York",555,"61,302",0.91
"Washington County, North Carolina",140,"11,003",1.27
"Washington County, Ohio",392,"59,771",0.66
"Washington County, Oklahoma",468,"52,455",0.89
"Washington County, Oregon","1,438","600,372",0.24
"Washington County, Pennsylvania","1,398","209,349",0.67
"Washington County, Rhode Island",883,"129,839",0.68
"Washington County, Tennessee",643,"133,001",0.48
"Washington County, Texas",248,"35,805",0.69
"Washington County, Utah",604,"180,279",0.34
"Washington County, Vermont",405,"59,807",0.68
"Washington County, Virginia",192,"53,935",0.36
"Washington County, Wisconsin",312,"136,761",0.23
"Washington Parish, Louisiana",256,"45,463",0.56
"Washita County, Oklahoma",125,"10,924",1.14
"Washoe County, Nevada",892,"486,492",0.18
"Washtenaw County, Michigan","1,304","372,258",0.35
"Watauga County, North Carolina",150,"54,086",0.28
"Watonwan County, Minnesota",114,"11,253",1.01
"Waukesha County, Wisconsin","1,728","406,978",0.42
"Waupaca County, Wisconsin",843,"51,812",1.63
"Waushara County, Wisconsin",103,"24,520",0.42
"Wayne County, Georgia",197,"30,144",0.65
"Wayne County, Illinois",108,"16,179",0.67
"Wayne County, Indiana",810,"66,553",1.22
"Wayne County, Iowa",74,"6,497",1.14
"Wayne County, Kentucky",97,"19,555",0.5
"Wayne County, Michigan","6,826","1,793,561",0.38
"Wayne County, Mississippi",21,"19,779",0.11
"Wayne County, Missouri",95,"10,974",0.87
"Wayne County, Nebraska",49,"9,697",0.51
"Wayne County, New York",517,"91,283",0.57
"Wayne County, North Carolina",491,"117,333",0.42
"Wayne County, Ohio",964,"116,894",0.82
"Wayne County, Pennsylvania",257,"51,155",0.5
"Wayne County, Tennessee",86,"16,232",0.53
"Wayne County, Utah",0,"2,486",0
"Wayne County, West Virginia",47,"38,982",0.12
"Waynesboro city, Virginia",239,"22,196",1.08
"Weakley County, Tennessee",274,"32,902",0.83
"Webb County, Texas",757,"267,114",0.28
"Weber County, Utah",723,"262,223",0.28
"Webster County, Georgia",0,"2,348",0
"Webster County, Iowa",632,"36,999",1.71
"Webster County, Kentucky",86,"13,017",0.66
"Webster County, Mississippi",142,"9,926",1.43
"Webster County, Missouri",155,"39,085",0.4
"Webster County, Nebraska",65,"3,395",1.91
"Webster County, West Virginia",60,"8,378",0.72
"Webster Parish, Louisiana",258,"36,967",0.7
"Weld County, Colorado",853,"328,981",0.26
"Wells County, Indiana",358,"28,180",1.27
"Wells County, North Dakota",71,"3,982",1.78
"West Baton Rouge Parish, Louisiana",96,"27,199",0.35
"West Carroll Parish, Louisiana",39,"9,751",0.4
"West Feliciana Parish, Louisiana",116,"15,310",0.76
"Westchester County, New York","6,442","1,004,457",0.64
"Westmoreland County, Pennsylvania","2,142","354,663",0.6
"Westmoreland County, Virginia",59,"18,477",0.32
"Weston County, Wyoming",67,"6,838",0.98
"Wetzel County, West Virginia",94,"14,442",0.65
"Wexford County, Michigan",226,"33,673",0.67
"Wharton County, Texas",292,"41,570",0.7
"Whatcom County, Washington",839,"226,847",0.37
"Wheatland County, Montana",16,"2,069",0.77
"Wheeler County, Georgia",64,"7,471",0.86
"Wheeler County, Nebraska",0,774,0
"Wheeler County, Oregon",0,"1,451",0
"Wheeler County, Texas",50,"4,990",1
"White County, Arkansas",460,"76,822",0.6
"White County, Georgia",130,"28,003",0.46
"White County, Illinois",501,"13,877",3.61
"White County, Indiana",169,"24,688",0.68
"White County, Tennessee",166,"27,351",0.61
"White Pine County, Nevada",34,"9,080",0.37
"Whiteside County, Illinois",630,"55,691",1.13
"Whitfield County, Georgia",427,"102,864",0.42
"Whitley County, Indiana",82,"34,191",0.24
"Whitley County, Kentucky",269,"36,712",0.73
"Whitman County, Washington",269,"47,973",0.56
"Wibaux County, Montana",27,937,2.88
"Wichita County, Kansas",19,"2,152",0.88
"Wichita County, Texas",917,"129,350",0.71
"Wicomico County, Maryland",538,"103,588",0.52
"Wilbarger County, Texas",138,"12,887",1.07
"Wilcox County, Alabama",62,"10,600",0.58
"Wilcox County, Georgia",135,"8,766",1.54
"Wilkes County, Georgia",71,"9,565",0.74
"Wilkes County, North Carolina",476,"65,969",0.72
"Wilkin County, Minnesota",54,"6,506",0.83
"Wilkinson County, Georgia",49,"8,877",0.55
"Wilkinson County, Mississippi",85,"8,587",0.99
"Will County, Illinois","2,579","696,355",0.37
"Willacy County, Texas",113,"20,164",0.56
"Williams County, North Dakota",150,"40,950",0.37
"Williams County, Ohio",310,"37,102",0.84
"Williamsburg city, Virginia",115,"15,425",0.75
"Williamsburg County, South Carolina",173,"31,026",0.56
"Williamson County, Illinois",384,"67,153",0.57
"Williamson County, Tennessee","1,035","247,726",0.42
"Williamson County, Texas","1,757","609,017",0.29
"Wilson County, Kansas",70,"8,624",0.81
"Wilson County, North Carolina",610,"78,784",0.77
"Wilson County, Tennessee",659,"147,737",0.45
"Wilson County, Texas",372,"49,753",0.75
"Winchester city, Virginia",199,"28,120",0.71
"Windham County, Connecticut",800,"116,418",0.69
"Windham County, Vermont",209,"45,905",0.46
"Windsor County, Vermont",298,"57,753",0.52
"Winkler County, Texas",0,"7,791",0
"Winn Parish, Louisiana",107,"13,755",0.78
"Winnebago County, Illinois","1,888","285,350",0.66
"Winnebago County, Iowa",148,"10,679",1.39
"Winnebago County, Wisconsin",835,"171,730",0.49
"Winneshiek County, Iowa",156,"20,070",0.78
"Winona County, Minnesota",384,"49,671",0.77
"Winston County, Alabama",196,"23,540",0.83
"Winston County, Mississippi",177,"17,714",1
"Wirt County, West Virginia",0,"5,194",0
"Wise County, Texas",281,"68,632",0.41
"Wise County, Virginia",237,"36,130",0.66
"Wolfe County, Kentucky",100,"6,562",1.52
"Wood County, Ohio",883,"132,248",0.67
"Wood County, Texas",255,"44,843",0.57
"Wood County, West Virginia",530,"84,296",0.63
"Wood County, Wisconsin",391,"74,207",0.53
"Woodbury County, Iowa",646,"105,941",0.61
"Woodford County, Illinois",528,"38,467",1.37
"Woodford County, Kentucky",94,"26,871",0.35
"Woodruff County, Arkansas",83,"6,269",1.32
"Woods County, Oklahoma",103,"8,624",1.19
"Woodson County, Kansas",41,"3,115",1.32
"Woodward County, Oklahoma",126,"20,470",0.62
"Worcester County, Maryland",387,"52,460",0.74
"Worcester County, Massachusetts","5,523","862,111",0.64
"Worth County, Georgia",83,"20,784",0.4
"Worth County, Iowa",68,"7,443",0.91
"Worth County, Missouri",35,"1,973",1.77
"Wrangell City and Borough, Alaska",15,"2,127",0.71
"Wright County, Iowa",129,"12,943",1
"Wright County, Minnesota",548,"141,337",0.39
"Wright County, Missouri",119,"18,188",0.65
"Wyandot County, Ohio",250,"21,900",1.14
"Wyandotte County, Kansas","1,112","169,245",0.66
"Wyoming County, New York",207,"40,531",0.51
"Wyoming County, Pennsylvania",97,"26,069",0.37
"Wyoming County, West Virginia",57,"21,382",0.27
"Wythe County, Virginia",126,"28,290",0.45
"Yabucoa Municipio, Puerto Rico",55,"30,426",0.18
"Yadkin County, North Carolina",258,"37,214",0.69
"Yakima County, Washington",954,"256,728",0.37
"Yakutat City and Borough, Alaska",0,662,0
"Yalobusha County, Mississippi",183,"12,481",1.47
"Yamhill County, Oregon",479,"107,722",0.44
"Yancey County, North Carolina",86,"18,470",0.47
"Yankton County, South Dakota",427,"23,310",1.83
"Yates County, New York",145,"24,774",0.59
"Yauco Municipio, Puerto Rico",148,"34,172",0.43
"Yavapai County, Arizona",597,"236,209",0.25
"Yazoo County, Mississippi",218,"26,743",0.82
"Yell County, Arkansas",228,"20,263",1.13
"Yellow Medicine County, Minnesota",42,"9,528",0.44
"Yellowstone County, Montana","1,165","164,731",0.71
"Yoakum County, Texas",75,"7,694",0.97
"Yolo County, California",790,"216,403",0.37
"York County, Maine","1,064","211,972",0.5
"York County, Nebraska",137,"14,125",0.97
"York County, Pennsylvania","3,070","456,438",0.67
"York County, South Carolina",613,"282,090",0.22
"York County, Virginia",130,"70,045",0.19
"Young County, Texas",171,"17,867",0.96
"Yuba County, California",112,"81,575",0.14
"Yukon-Koyukuk Census Area, Alaska",1,"5,343",0.02
"Yuma County, Arizona",309,"203,881",0.15
"Yuma County, Colorado",102,"9,988",1.02
"Zapata County, Texas",28,"13,889",0.2
"Zavala County, Texas",0,"9,670",0
"Ziebach County, South Dakota",0,"2,413",0
