Geographic Area,"Educational instruction, and library occupations",Total,Educ job
"Upshur County, West Virginia",524,"9,536",5.5
"Upson County, Georgia",556,"11,347",4.9
"Upton County, Texas",79,"1,360",5.8
"Utah County, Utah","26,165","326,244",8
"Utuado Municipio, Puerto Rico",638,"6,632",9.6
"Uvalde County, Texas",699,"9,920",7
"Val Verde County, Texas","1,336","19,782",6.8
"Valencia County, New Mexico","1,811","29,129",6.2
"Valley County, Idaho",87,"4,936",1.8
"Valley County, Montana",149,"3,471",4.3
"Valley County, Nebraska",118,"2,062",5.7
"Van Buren County, Arkansas",373,"5,427",6.9
"Van Buren County, Iowa",255,"3,060",8.3
"Van Buren County, Michigan","1,513","34,382",4.4
"Van Buren County, Tennessee",34,"2,448",1.4
"Van Wert County, Ohio",642,"14,225",4.5
"Van Zandt County, Texas","1,332","25,364",5.3
"Vance County, North Carolina",928,"18,177",5.1
"Vanderburgh County, Indiana","4,426","89,329",5
"Vega Alta Municipio, Puerto Rico",482,"11,311",4.3
"Vega Baja Municipio, Puerto Rico","1,147","16,949",6.8
"Venango County, Pennsylvania","1,166","21,733",5.4
"Ventura County, California","21,724","409,387",5.3
"Vermilion County, Illinois","1,517","30,399",5
"Vermilion Parish, Louisiana","1,671","23,066",7.2
"Vermillion County, Indiana",342,"6,817",5
"Vernon County, Missouri",590,"8,492",6.9
"Vernon County, Wisconsin",713,"13,843",5.2
"Vernon Parish, Louisiana","1,088","15,879",6.9
"Victoria County, Texas","2,191","41,593",5.3
"Vieques Municipio, Puerto Rico",199,"2,075",9.6
"Vigo County, Indiana","3,398","48,800",7
"Vilas County, Wisconsin",536,"10,186",5.3
"Villalba Municipio, Puerto Rico",459,"6,700",6.9
"Vinton County, Ohio",379,"5,101",7.4
"Virginia Beach city, Virginia","15,764","224,334",7
"Volusia County, Florida","13,866","244,700",5.7
"Wabash County, Illinois",336,"5,084",6.6
"Wabash County, Indiana",809,"14,417",5.6
"Wabasha County, Minnesota",522,"11,174",4.7
"Wabaunsee County, Kansas",226,"3,297",6.9
"Wadena County, Minnesota",379,"6,245",6.1
"Wagoner County, Oklahoma","1,947","38,931",5
"Wahkiakum County, Washington",29,"1,554",1.9
"Wake County, North Carolina","36,872","601,289",6.1
"Wakulla County, Florida",832,"15,355",5.4
"Waldo County, Maine","1,436","18,460",7.8
"Walker County, Alabama","1,316","25,764",5.1
"Walker County, Georgia","2,131","30,682",6.9
"Walker County, Texas","2,705","29,120",9.3
"Walla Walla County, Washington","2,266","27,499",8.2
"Wallace County, Kansas",88,714,12.3
"Waller County, Texas","1,199","24,902",4.8
"Wallowa County, Oregon",214,"3,295",6.5
"Walsh County, North Dakota",324,"5,210",6.2
"Walthall County, Mississippi",688,"5,168",13.3
"Walton County, Florida","1,362","34,379",4
"Walton County, Georgia","2,923","46,541",6.3
"Walworth County, South Dakota",145,"2,557",5.7
"Walworth County, Wisconsin","3,452","55,626",6.2
"Wapello County, Iowa",902,"16,468",5.5
"Ward County, North Dakota","2,294","34,170",6.7
"Ward County, Texas",472,"5,111",9.2
"Ware County, Georgia",948,"13,100",7.2
"Warren County, Georgia",113,"2,020",5.6
"Warren County, Illinois",720,"7,685",9.4
"Warren County, Indiana",150,"4,074",3.7
"Warren County, Iowa","1,926","27,607",7
"Warren County, Kentucky","4,032","68,496",5.9
"Warren County, Mississippi","1,209","19,268",6.3
"Warren County, Missouri",662,"17,120",3.9
"Warren County, New Jersey","4,229","56,741",7.5
"Warren County, New York","2,682","31,884",8.4
"Warren County, North Carolina",334,"7,084",4.7
"Warren County, Ohio","7,750","121,923",6.4
"Warren County, Pennsylvania",537,"17,363",3.1
"Warren County, Tennessee",925,"17,684",5.2
"Warren County, Virginia","1,260","19,589",6.4
"Warrick County, Indiana","2,124","31,541",6.7
"Wasatch County, Utah","1,092","17,205",6.3
"Wasco County, Oregon",592,"11,870",5
"Waseca County, Minnesota",507,"9,538",5.3
"Washakie County, Wyoming",314,"3,961",7.9
"Washburn County, Wisconsin",367,"7,249",5.1
"Washington County, Alabama",261,"5,598",4.7
"Washington County, Arkansas","10,031","120,991",8.3
"Washington County, Colorado",196,"2,284",8.6
"Washington County, Florida",469,"8,671",5.4
"Washington County, Georgia",695,"7,809",8.9
"Washington County, Idaho",341,"3,998",8.5
"Washington County, Illinois",409,"6,942",5.9
"Washington County, Indiana",496,"13,164",3.8
"Washington County, Iowa",615,"11,701",5.3
"Washington County, Kansas",220,"2,600",8.5
"Washington County, Kentucky",360,"5,717",6.3
"Washington County, Maine","1,027","12,737",8.1
"Washington County, Maryland","3,501","70,953",4.9
"Washington County, Minnesota","8,750","141,759",6.2
"Washington County, Mississippi","1,246","16,531",7.5
"Washington County, Missouri",352,"9,233",3.8
"Washington County, Nebraska",932,"11,060",8.4
"Washington County, New York","1,543","28,617",5.4
"Washington County, North Carolina",210,"3,893",5.4
"Washington County, Ohio","1,372","27,028",5.1
"Washington County, Oklahoma","1,283","23,038",5.6
"Washington County, Oregon","16,207","316,457",5.1
"Washington County, Pennsylvania","5,017","102,148",4.9
"Washington County, Rhode Island","5,921","66,218",8.9
"Washington County, Tennessee","4,204","63,338",6.6
"Washington County, Texas","1,214","16,633",7.3
"Washington County, Utah","4,743","78,297",6.1
"Washington County, Vermont","2,348","31,418",7.5
"Washington County, Virginia","1,565","23,968",6.5
"Washington County, Wisconsin","4,065","74,576",5.5
"Washington Parish, Louisiana","1,117","16,763",6.7
"Washita County, Oklahoma",300,"4,759",6.3
"Washoe County, Nevada","13,402","248,193",5.4
"Washtenaw County, Michigan","21,780","188,675",11.5
"Watauga County, North Carolina","2,742","26,404",10.4
"Watonwan County, Minnesota",374,"5,279",7.1
"Waukesha County, Wisconsin","12,972","217,962",6
"Waupaca County, Wisconsin","1,245","26,151",4.8
"Waushara County, Wisconsin",492,"10,826",4.5
"Wayne County, Georgia",688,"11,345",6.1
"Wayne County, Illinois",378,"7,186",5.3
"Wayne County, Indiana","1,753","30,512",5.7
"Wayne County, Iowa",166,"2,859",5.8
"Wayne County, Kentucky",422,"6,899",6.1
"Wayne County, Michigan","36,073","760,955",4.7
"Wayne County, Mississippi",571,"7,679",7.4
"Wayne County, Missouri",213,"3,685",5.8
"Wayne County, Nebraska",476,"5,362",8.9
"Wayne County, New York","3,080","43,843",7
"Wayne County, North Carolina","3,062","50,428",6.1
"Wayne County, Ohio","3,152","55,098",5.7
"Wayne County, Pennsylvania","1,329","21,217",6.3
"Wayne County, Tennessee",399,"6,254",6.4
"Wayne County, Utah",13,"1,274",1
"Wayne County, West Virginia","1,127","14,240",7.9
"Waynesboro city, Virginia",418,"10,895",3.8
"Weakley County, Tennessee","1,253","14,126",8.9
"Webb County, Texas","7,621","111,606",6.8
"Weber County, Utah","6,969","132,709",5.3
"Webster County, Georgia",56,993,5.6
"Webster County, Iowa","1,041","17,742",5.9
"Webster County, Kentucky",275,"5,348",5.1
"Webster County, Mississippi",149,"4,112",3.6
"Webster County, Missouri",867,"16,184",5.4
"Webster County, Nebraska",119,"1,767",6.7
"Webster County, West Virginia",138,"2,669",5.2
"Webster Parish, Louisiana",761,"12,994",5.9
"Weld County, Colorado","9,314","168,820",5.5
"Wells County, Indiana",784,"14,351",5.5
"Wells County, North Dakota",140,"1,938",7.2
"West Baton Rouge Parish, Louisiana",729,"12,560",5.8
"West Carroll Parish, Louisiana",159,"3,629",4.4
"West Feliciana Parish, Louisiana",451,"5,627",8
"Westchester County, New York","44,168","496,164",8.9
"Western Connecticut Planning Region, Connecticut","20,661","322,043",6.4
"Westmoreland County, Pennsylvania","9,508","171,612",5.5
"Westmoreland County, Virginia",297,"7,016",4.2
"Weston County, Wyoming",135,"3,035",4.4
"Wetzel County, West Virginia",285,"5,116",5.6
"Wexford County, Michigan",628,"14,075",4.5
"Wharton County, Texas","1,121","18,162",6.2
"Whatcom County, Washington","7,471","111,457",6.7
"Wheatland County, Montana",61,827,7.4
"Wheeler County, Georgia",56,"2,763",2
"Wheeler County, Nebraska",29,363,8
"Wheeler County, Oregon",45,493,9.1
"Wheeler County, Texas",101,"2,274",4.4
"White County, Arkansas","2,695","32,261",8.4
"White County, Georgia",756,"12,598",6
"White County, Illinois",321,"5,962",5.4
"White County, Indiana",453,"11,340",4
"White County, Tennessee",596,"11,226",5.3
"White Pine County, Nevada",225,"3,470",6.5
"Whiteside County, Illinois","1,618","26,585",6.1
"Whitfield County, Georgia","2,740","47,406",5.8
"Whitley County, Indiana",664,"17,167",3.9
"Whitley County, Kentucky","1,162","13,246",8.8
"Whitman County, Washington","3,624","22,847",15.9
"Wibaux County, Montana",47,489,9.6
"Wichita County, Kansas",70,941,7.4
"Wichita County, Texas","3,724","57,700",6.5
"Wicomico County, Maryland","3,641","50,869",7.2
"Wilbarger County, Texas",280,"5,495",5.1
"Wilcox County, Alabama",193,"3,345",5.8
"Wilcox County, Georgia",194,"2,894",6.7
"Wilkes County, Georgia",133,"3,964",3.4
"Wilkes County, North Carolina","1,384","28,568",4.8
"Wilkin County, Minnesota",225,"3,198",7
"Wilkinson County, Georgia",125,"3,256",3.8
"Wilkinson County, Mississippi",129,"2,798",4.6
"Will County, Illinois","21,341","359,464",5.9
"Willacy County, Texas",423,"8,029",5.3
"Williams County, North Dakota","1,458","20,312",7.2
"Williams County, Ohio",684,"17,689",3.9
"Williamsburg city, Virginia",706,"6,417",11
"Williamsburg County, South Carolina",658,"12,034",5.5
"Williamson County, Illinois","2,253","30,387",7.4
"Williamson County, Tennessee","7,969","127,487",6.3
"Williamson County, Texas","20,420","325,008",6.3
"Wilson County, Kansas",401,"3,895",10.3
"Wilson County, North Carolina","2,214","34,334",6.4
"Wilson County, Tennessee","4,507","74,682",6
"Wilson County, Texas","1,711","23,332",7.3
"Winchester city, Virginia","1,098","14,519",7.6
"Windham County, Vermont","2,174","23,512",9.2
"Windsor County, Vermont","2,298","29,203",7.9
"Winkler County, Texas",225,"3,380",6.7
"Winn Parish, Louisiana",247,"4,857",5.1
"Winnebago County, Illinois","6,609","129,952",5.1
"Winnebago County, Iowa",419,"5,495",7.6
"Winnebago County, Wisconsin","4,725","90,628",5.2
"Winneshiek County, Iowa",823,"10,955",7.5
"Winona County, Minnesota","1,772","27,653",6.4
"Winston County, Alabama",476,"9,773",4.9
"Winston County, Mississippi",469,"6,547",7.2
"Wirt County, West Virginia",139,"2,012",6.9
"Wise County, Texas","1,965","34,358",5.7
"Wise County, Virginia","1,279","12,651",10.1
"Wolfe County, Kentucky",142,"1,527",9.3
"Wood County, Ohio","5,386","68,995",7.8
"Wood County, Texas","1,154","17,179",6.7
"Wood County, West Virginia","2,037","35,901",5.7
"Wood County, Wisconsin","1,653","35,858",4.6
"Woodbury County, Iowa","3,088","52,921",5.8
"Woodford County, Illinois","1,421","18,599",7.6
"Woodford County, Kentucky",818,"13,606",6
"Woodruff County, Arkansas",97,"2,630",3.7
"Woods County, Oklahoma",304,"4,062",7.5
"Woodson County, Kansas",119,"1,330",8.9
"Woodward County, Oklahoma",826,"9,425",8.8
"Worcester County, Maryland","1,354","24,644",5.5
"Worcester County, Massachusetts","31,854","441,570",7.2
"Worth County, Georgia",334,"8,679",3.8
"Worth County, Iowa",182,"3,994",4.6
"Worth County, Missouri",20,930,2.2
"Wrangell City and Borough, Alaska",44,815,5.4
"Wright County, Iowa",264,"5,823",4.5
"Wright County, Minnesota","4,918","76,981",6.4
"Wright County, Missouri",481,"6,859",7
"Wyandot County, Ohio",763,"10,973",7
"Wyandotte County, Kansas","3,437","78,590",4.4
"Wyoming County, New York","1,193","18,100",6.6
"Wyoming County, Pennsylvania",585,"12,048",4.9
"Wyoming County, West Virginia",803,"6,143",13.1
"Wythe County, Virginia",806,"12,623",6.4
"Yabucoa Municipio, Puerto Rico",480,"8,686",5.5
"Yadkin County, North Carolina",772,"16,900",4.6
"Yakima County, Washington","7,110","108,902",6.5
"Yakutat City and Borough, Alaska",38,322,11.8
"Yalobusha County, Mississippi",346,"4,992",6.9
"Yamhill County, Oregon","2,700","49,981",5.4
"Yancey County, North Carolina",432,"7,696",5.6
"Yankton County, South Dakota",483,"11,876",4.1
"Yates County, New York",796,"10,807",7.4
"Yauco Municipio, Puerto Rico",832,"9,880",8.4
"Yavapai County, Arizona","5,069","94,954",5.3
"Yazoo County, Mississippi",272,"9,054",3
"Yell County, Arkansas",426,"8,930",4.8
"Yellow Medicine County, Minnesota",248,"4,733",5.2
"Yellowstone County, Montana","4,368","84,122",5.2
"Yoakum County, Texas",277,"3,287",8.4
"Yolo County, California","10,680","102,693",10.4
"York County, Maine","6,954","112,736",6.2
"York County, Nebraska",510,"6,948",7.3
"York County, Pennsylvania","11,596","230,648",5
"York County, South Carolina","8,166","141,825",5.8
"York County, Virginia","2,986","31,845",9.4
"Young County, Texas",325,"8,217",4
"Yuba County, California","1,462","31,657",4.6
"Yukon-Koyukuk Census Area, Alaska",252,"2,358",10.7
"Yuma County, Arizona","4,568","74,868",6.1
"Yuma County, Colorado",276,"4,857",5.7
"Zapata County, Texas",320,"4,843",6.6
"Zavala County, Texas",239,"3,797",6.3
"Ziebach County, South Dakota",86,829,10.4
