Geographic Area,Healthcare practitioners and technical occupations,Total,Health job
"Upshur County, West Virginia",666,"9,536",7
"Upson County, Georgia",782,"11,347",6.9
"Upton County, Texas",57,"1,360",4.2
"Utah County, Utah","14,809","326,244",4.5
"Utuado Municipio, Puerto Rico",443,"6,632",6.7
"Uvalde County, Texas",528,"9,920",5.3
"Val Verde County, Texas",912,"19,782",4.6
"Valencia County, New Mexico","1,964","29,129",6.7
"Valley County, Idaho",309,"4,936",6.3
"Valley County, Montana",224,"3,471",6.5
"Valley County, Nebraska",135,"2,062",6.5
"Van Buren County, Arkansas",344,"5,427",6.3
"Van Buren County, Iowa",141,"3,060",4.6
"Van Buren County, Michigan","2,023","34,382",5.9
"Van Buren County, Tennessee",178,"2,448",7.3
"Van Wert County, Ohio","1,072","14,225",7.5
"Van Zandt County, Texas","1,409","25,364",5.6
"Vance County, North Carolina","1,055","18,177",5.8
"Vanderburgh County, Indiana","6,369","89,329",7.1
"Vega Alta Municipio, Puerto Rico",689,"11,311",6.1
"Vega Baja Municipio, Puerto Rico","1,027","16,949",6.1
"Venango County, Pennsylvania","1,607","21,733",7.4
"Ventura County, California","20,110","409,387",4.9
"Vermilion County, Illinois","1,629","30,399",5.4
"Vermilion Parish, Louisiana","1,583","23,066",6.9
"Vermillion County, Indiana",472,"6,817",6.9
"Vernon County, Missouri",658,"8,492",7.7
"Vernon County, Wisconsin",967,"13,843",7
"Vernon Parish, Louisiana",777,"15,879",4.9
"Victoria County, Texas","2,557","41,593",6.1
"Vieques Municipio, Puerto Rico",138,"2,075",6.7
"Vigo County, Indiana","2,979","48,800",6.1
"Vilas County, Wisconsin",544,"10,186",5.3
"Villalba Municipio, Puerto Rico",652,"6,700",9.7
"Vinton County, Ohio",446,"5,101",8.7
"Virginia Beach city, Virginia","15,927","224,334",7.1
"Volusia County, Florida","15,173","244,700",6.2
"Wabash County, Illinois",301,"5,084",5.9
"Wabash County, Indiana",808,"14,417",5.6
"Wabasha County, Minnesota","1,076","11,174",9.6
"Wabaunsee County, Kansas",171,"3,297",5.2
"Wadena County, Minnesota",354,"6,245",5.7
"Wagoner County, Oklahoma","2,853","38,931",7.3
"Wahkiakum County, Washington",22,"1,554",1.4
"Wake County, North Carolina","36,759","601,289",6.1
"Wakulla County, Florida",742,"15,355",4.8
"Waldo County, Maine","1,275","18,460",6.9
"Walker County, Alabama","1,975","25,764",7.7
"Walker County, Georgia","1,962","30,682",6.4
"Walker County, Texas",976,"29,120",3.4
"Walla Walla County, Washington","1,650","27,499",6
"Wallace County, Kansas",44,714,6.2
"Waller County, Texas","1,127","24,902",4.5
"Wallowa County, Oregon",149,"3,295",4.5
"Walsh County, North Dakota",322,"5,210",6.2
"Walthall County, Mississippi",397,"5,168",7.7
"Walton County, Florida","1,664","34,379",4.8
"Walton County, Georgia","2,268","46,541",4.9
"Walworth County, South Dakota",279,"2,557",10.9
"Walworth County, Wisconsin","2,509","55,626",4.5
"Wapello County, Iowa","1,077","16,468",6.5
"Ward County, North Dakota","1,987","34,170",5.8
"Ward County, Texas",172,"5,111",3.4
"Ware County, Georgia",672,"13,100",5.1
"Warren County, Georgia",48,"2,020",2.4
"Warren County, Illinois",277,"7,685",3.6
"Warren County, Indiana",274,"4,074",6.7
"Warren County, Iowa","1,384","27,607",5
"Warren County, Kentucky","4,538","68,496",6.6
"Warren County, Mississippi","1,345","19,268",7
"Warren County, Missouri","1,039","17,120",6.1
"Warren County, New Jersey","3,308","56,741",5.8
"Warren County, New York","2,409","31,884",7.6
"Warren County, North Carolina",288,"7,084",4.1
"Warren County, Ohio","9,542","121,923",7.8
"Warren County, Pennsylvania","1,330","17,363",7.7
"Warren County, Tennessee","1,018","17,684",5.8
"Warren County, Virginia",678,"19,589",3.5
"Warrick County, Indiana","3,395","31,541",10.8
"Wasatch County, Utah",974,"17,205",5.7
"Wasco County, Oregon",965,"11,870",8.1
"Waseca County, Minnesota",473,"9,538",5
"Washakie County, Wyoming",273,"3,961",6.9
"Washburn County, Wisconsin",406,"7,249",5.6
"Washington County, Alabama",389,"5,598",6.9
"Washington County, Arkansas","7,794","120,991",6.4
"Washington County, Colorado",87,"2,284",3.8
"Washington County, Florida",469,"8,671",5.4
"Washington County, Georgia",379,"7,809",4.9
"Washington County, Idaho",135,"3,998",3.4
"Washington County, Illinois",501,"6,942",7.2
"Washington County, Indiana",736,"13,164",5.6
"Washington County, Iowa",878,"11,701",7.5
"Washington County, Kansas",109,"2,600",4.2
"Washington County, Kentucky",318,"5,717",5.6
"Washington County, Maine",487,"12,737",3.8
"Washington County, Maryland","4,459","70,953",6.3
"Washington County, Minnesota","10,931","141,759",7.7
"Washington County, Mississippi","1,080","16,531",6.5
"Washington County, Missouri",584,"9,233",6.3
"Washington County, Nebraska",742,"11,060",6.7
"Washington County, New York","1,932","28,617",6.8
"Washington County, North Carolina",149,"3,893",3.8
"Washington County, Ohio","2,126","27,028",7.9
"Washington County, Oklahoma","1,205","23,038",5.2
"Washington County, Oregon","17,594","316,457",5.6
"Washington County, Pennsylvania","7,700","102,148",7.5
"Washington County, Rhode Island","4,751","66,218",7.2
"Washington County, Tennessee","7,330","63,338",11.6
"Washington County, Texas","1,227","16,633",7.4
"Washington County, Utah","5,280","78,297",6.7
"Washington County, Vermont","1,969","31,418",6.3
"Washington County, Virginia","1,931","23,968",8.1
"Washington County, Wisconsin","5,193","74,576",7
"Washington Parish, Louisiana","1,223","16,763",7.3
"Washita County, Oklahoma",147,"4,759",3.1
"Washoe County, Nevada","13,148","248,193",5.3
"Washtenaw County, Michigan","16,461","188,675",8.7
"Watauga County, North Carolina",939,"26,404",3.6
"Watonwan County, Minnesota",372,"5,279",7
"Waukesha County, Wisconsin","18,403","217,962",8.4
"Waupaca County, Wisconsin","1,337","26,151",5.1
"Waushara County, Wisconsin",542,"10,826",5
"Wayne County, Georgia",627,"11,345",5.5
"Wayne County, Illinois",498,"7,186",6.9
"Wayne County, Indiana","1,993","30,512",6.5
"Wayne County, Iowa",173,"2,859",6.1
"Wayne County, Kentucky",313,"6,899",4.5
"Wayne County, Michigan","46,802","760,955",6.2
"Wayne County, Mississippi",812,"7,679",10.6
"Wayne County, Missouri",223,"3,685",6.1
"Wayne County, Nebraska",273,"5,362",5.1
"Wayne County, New York","3,153","43,843",7.2
"Wayne County, North Carolina","3,029","50,428",6
"Wayne County, Ohio","3,105","55,098",5.6
"Wayne County, Pennsylvania","1,233","21,217",5.8
"Wayne County, Tennessee",609,"6,254",9.7
"Wayne County, Utah",80,"1,274",6.3
"Wayne County, West Virginia","1,619","14,240",11.4
"Waynesboro city, Virginia",877,"10,895",8
"Weakley County, Tennessee","1,192","14,126",8.4
"Webb County, Texas","3,991","111,606",3.6
"Weber County, Utah","6,162","132,709",4.6
"Webster County, Georgia",38,993,3.8
"Webster County, Iowa","1,135","17,742",6.4
"Webster County, Kentucky",374,"5,348",7
"Webster County, Mississippi",313,"4,112",7.6
"Webster County, Missouri",826,"16,184",5.1
"Webster County, Nebraska",112,"1,767",6.3
"Webster County, West Virginia",210,"2,669",7.9
"Webster Parish, Louisiana","1,107","12,994",8.5
"Weld County, Colorado","9,013","168,820",5.3
"Wells County, Indiana","1,098","14,351",7.7
"Wells County, North Dakota",93,"1,938",4.8
"West Baton Rouge Parish, Louisiana",783,"12,560",6.2
"West Carroll Parish, Louisiana",284,"3,629",7.8
"West Feliciana Parish, Louisiana",358,"5,627",6.4
"Westchester County, New York","36,206","496,164",7.3
"Western Connecticut Planning Region, Connecticut","18,335","322,043",5.7
"Westmoreland County, Pennsylvania","13,367","171,612",7.8
"Westmoreland County, Virginia",109,"7,016",1.6
"Weston County, Wyoming",141,"3,035",4.6
"Wetzel County, West Virginia",225,"5,116",4.4
"Wexford County, Michigan",924,"14,075",6.6
"Wharton County, Texas","1,203","18,162",6.6
"Whatcom County, Washington","6,558","111,457",5.9
"Wheatland County, Montana",16,827,1.9
"Wheeler County, Georgia",46,"2,763",1.7
"Wheeler County, Nebraska",7,363,1.9
"Wheeler County, Oregon",14,493,2.8
"Wheeler County, Texas",119,"2,274",5.2
"White County, Arkansas","2,237","32,261",6.9
"White County, Georgia","1,085","12,598",8.6
"White County, Illinois",377,"5,962",6.3
"White County, Indiana",445,"11,340",3.9
"White County, Tennessee",656,"11,226",5.8
"White Pine County, Nevada",184,"3,470",5.3
"Whiteside County, Illinois","1,639","26,585",6.2
"Whitfield County, Georgia","2,112","47,406",4.5
"Whitley County, Indiana","1,255","17,167",7.3
"Whitley County, Kentucky",769,"13,246",5.8
"Whitman County, Washington","1,058","22,847",4.6
"Wibaux County, Montana",15,489,3.1
"Wichita County, Kansas",29,941,3.1
"Wichita County, Texas","3,964","57,700",6.9
"Wicomico County, Maryland","3,174","50,869",6.2
"Wilbarger County, Texas",241,"5,495",4.4
"Wilcox County, Alabama",107,"3,345",3.2
"Wilcox County, Georgia",117,"2,894",4
"Wilkes County, Georgia",211,"3,964",5.3
"Wilkes County, North Carolina","1,643","28,568",5.8
"Wilkin County, Minnesota",154,"3,198",4.8
"Wilkinson County, Georgia",180,"3,256",5.5
"Wilkinson County, Mississippi",47,"2,798",1.7
"Will County, Illinois","22,690","359,464",6.3
"Willacy County, Texas",373,"8,029",4.6
"Williams County, North Dakota","1,193","20,312",5.9
"Williams County, Ohio",890,"17,689",5
"Williamsburg city, Virginia",193,"6,417",3
"Williamsburg County, South Carolina",724,"12,034",6
"Williamson County, Illinois","2,608","30,387",8.6
"Williamson County, Tennessee","9,119","127,487",7.2
"Williamson County, Texas","18,260","325,008",5.6
"Wilson County, Kansas",180,"3,895",4.6
"Wilson County, North Carolina","2,184","34,334",6.4
"Wilson County, Tennessee","4,952","74,682",6.6
"Wilson County, Texas","1,225","23,332",5.3
"Winchester city, Virginia",975,"14,519",6.7
"Windham County, Vermont","1,273","23,512",5.4
"Windsor County, Vermont","2,373","29,203",8.1
"Winkler County, Texas",53,"3,380",1.6
"Winn Parish, Louisiana",348,"4,857",7.2
"Winnebago County, Illinois","7,966","129,952",6.1
"Winnebago County, Iowa",251,"5,495",4.6
"Winnebago County, Wisconsin","4,924","90,628",5.4
"Winneshiek County, Iowa",576,"10,955",5.3
"Winona County, Minnesota","1,996","27,653",7.2
"Winston County, Alabama",792,"9,773",8.1
"Winston County, Mississippi",359,"6,547",5.5
"Wirt County, West Virginia",108,"2,012",5.4
"Wise County, Texas","1,670","34,358",4.9
"Wise County, Virginia",846,"12,651",6.7
"Wolfe County, Kentucky",92,"1,527",6
"Wood County, Ohio","5,190","68,995",7.5
"Wood County, Texas",981,"17,179",5.7
"Wood County, West Virginia","2,646","35,901",7.4
"Wood County, Wisconsin","2,873","35,858",8
"Woodbury County, Iowa","2,826","52,921",5.3
"Woodford County, Illinois","1,410","18,599",7.6
"Woodford County, Kentucky","1,062","13,606",7.8
"Woodruff County, Arkansas",256,"2,630",9.7
"Woods County, Oklahoma",159,"4,062",3.9
"Woodson County, Kansas",30,"1,330",2.3
"Woodward County, Oklahoma",283,"9,425",3
"Worcester County, Maryland","1,567","24,644",6.4
"Worcester County, Massachusetts","31,007","441,570",7
"Worth County, Georgia",763,"8,679",8.8
"Worth County, Iowa",267,"3,994",6.7
"Worth County, Missouri",32,930,3.4
"Wrangell City and Borough, Alaska",37,815,4.5
"Wright County, Iowa",371,"5,823",6.4
"Wright County, Minnesota","5,058","76,981",6.6
"Wright County, Missouri",291,"6,859",4.2
"Wyandot County, Ohio",705,"10,973",6.4
"Wyandotte County, Kansas","3,159","78,590",4
"Wyoming County, New York","1,005","18,100",5.6
"Wyoming County, Pennsylvania",673,"12,048",5.6
"Wyoming County, West Virginia",593,"6,143",9.7
"Wythe County, Virginia",977,"12,623",7.7
"Yabucoa Municipio, Puerto Rico",491,"8,686",5.7
"Yadkin County, North Carolina","1,274","16,900",7.5
"Yakima County, Washington","4,343","108,902",4
"Yakutat City and Borough, Alaska",0,322,0
"Yalobusha County, Mississippi",303,"4,992",6.1
"Yamhill County, Oregon","2,574","49,981",5.1
"Yancey County, North Carolina",583,"7,696",7.6
"Yankton County, South Dakota","1,214","11,876",10.2
"Yates County, New York",425,"10,807",3.9
"Yauco Municipio, Puerto Rico","1,051","9,880",10.6
"Yavapai County, Arizona","5,882","94,954",6.2
"Yazoo County, Mississippi",463,"9,054",5.1
"Yell County, Arkansas",382,"8,930",4.3
"Yellow Medicine County, Minnesota",286,"4,733",6
"Yellowstone County, Montana","7,108","84,122",8.4
"Yoakum County, Texas",164,"3,287",5
"Yolo County, California","5,545","102,693",5.4
"York County, Maine","6,628","112,736",5.9
"York County, Nebraska",351,"6,948",5.1
"York County, Pennsylvania","15,400","230,648",6.7
"York County, South Carolina","8,603","141,825",6.1
"York County, Virginia","2,287","31,845",7.2
"Young County, Texas",380,"8,217",4.6
"Yuba County, California","1,729","31,657",5.5
"Yukon-Koyukuk Census Area, Alaska",63,"2,358",2.7
"Yuma County, Arizona","3,481","74,868",4.6
"Yuma County, Colorado",258,"4,857",5.3
"Zapata County, Texas",219,"4,843",4.5
"Zavala County, Texas",214,"3,797",5.6
"Ziebach County, South Dakota",28,829,3.4
